Ano,Mês,Valor,Estado
2008,Janeiro,52.0,Alagoas
2008,Fevereiro,83.0,Alagoas
2008,Março,47.0,Alagoas
2008,Abril,26.0,Alagoas
2008,Maio,8.0,Alagoas
2008,Junho,1.0,Alagoas
2008,Julho,,Alagoas
2008,Agosto,3.0,Alagoas
2008,Setembro,14.0,Alagoas
2008,Outubro,32.0,Alagoas
2008,Novembro,73.0,Alagoas
2008,Dezembro,70.0,Alagoas
2009,Janeiro,112.0,Alagoas
2009,Fevereiro,33.0,Alagoas
2009,Março,47.0,Alagoas
2009,Abril,5.0,Alagoas
2009,Maio,,Alagoas
2009,Junho,,Alagoas
2009,Julho,1.0,Alagoas
2009,Agosto,,Alagoas
2009,Setembro,16.0,Alagoas
2009,Outubro,26.0,Alagoas
2009,Novembro,56.0,Alagoas
2009,Dezembro,64.0,Alagoas
2010,Janeiro,32.0,Alagoas
2010,Fevereiro,39.0,Alagoas
2010,Março,87.0,Alagoas
2010,Abril,5.0,Alagoas
2010,Maio,,Alagoas
2010,Junho,2.0,Alagoas
2010,Julho,1.0,Alagoas
2010,Agosto,4.0,Alagoas
2010,Setembro,17.0,Alagoas
2010,Outubro,14.0,Alagoas
2010,Novembro,46.0,Alagoas
2010,Dezembro,52.0,Alagoas
2011,Janeiro,45.0,Alagoas
2011,Fevereiro,35.0,Alagoas
2011,Março,45.0,Alagoas
2011,Abril,19.0,Alagoas
2011,Maio,,Alagoas
2011,Junho,2.0,Alagoas
2011,Julho,,Alagoas
2011,Agosto,11.0,Alagoas
2011,Setembro,3.0,Alagoas
2011,Outubro,24.0,Alagoas
2011,Novembro,26.0,Alagoas
2011,Dezembro,57.0,Alagoas
2012,Janeiro,43.0,Alagoas
2012,Fevereiro,52.0,Alagoas
2012,Março,58.0,Alagoas
2012,Abril,18.0,Alagoas
2012,Maio,23.0,Alagoas
2012,Junho,5.0,Alagoas
2012,Julho,1.0,Alagoas
2012,Agosto,,Alagoas
2012,Setembro,6.0,Alagoas
2012,Outubro,31.0,Alagoas
2012,Novembro,85.0,Alagoas
2012,Dezembro,55.0,Alagoas
2013,Janeiro,45.0,Alagoas
2013,Fevereiro,22.0,Alagoas
2013,Março,36.0,Alagoas
2013,Abril,20.0,Alagoas
2013,Maio,2.0,Alagoas
2013,Junho,2.0,Alagoas
2013,Julho,1.0,Alagoas
2013,Agosto,,Alagoas
2013,Setembro,5.0,Alagoas
2013,Outubro,23.0,Alagoas
2013,Novembro,8.0,Alagoas
2013,Dezembro,37.0,Alagoas
2014,Janeiro,49.0,Alagoas
2014,Fevereiro,26.0,Alagoas
2014,Março,19.0,Alagoas
2014,Abril,15.0,Alagoas
2014,Maio,1.0,Alagoas
2014,Junho,2.0,Alagoas
2014,Julho,1.0,Alagoas
2014,Agosto,3.0,Alagoas
2014,Setembro,11.0,Alagoas
2014,Outubro,3.0,Alagoas
2014,Novembro,9.0,Alagoas
2014,Dezembro,26.0,Alagoas
2015,Janeiro,64.0,Alagoas
2015,Fevereiro,40.0,Alagoas
2015,Março,27.0,Alagoas
2015,Abril,46.0,Alagoas
2015,Maio,17.0,Alagoas
2015,Junho,2.0,Alagoas
2015,Julho,,Alagoas
2015,Agosto,3.0,Alagoas
2015,Setembro,4.0,Alagoas
2015,Outubro,28.0,Alagoas
2015,Novembro,118.0,Alagoas
2015,Dezembro,111.0,Alagoas
2016,Janeiro,22.0,Alagoas
2016,Fevereiro,14.0,Alagoas
2016,Março,10.0,Alagoas
2016,Abril,14.0,Alagoas
2016,Maio,4.0,Alagoas
2016,Junho,5.0,Alagoas
2016,Julho,5.0,Alagoas
2016,Agosto,4.0,Alagoas
2016,Setembro,15.0,Alagoas
2016,Outubro,63.0,Alagoas
2016,Novembro,79.0,Alagoas
2016,Dezembro,153.0,Alagoas
2017,Janeiro,38.0,Alagoas
2017,Fevereiro,16.0,Alagoas
2017,Março,19.0,Alagoas
2017,Abril,6.0,Alagoas
2017,Maio,1.0,Alagoas
2017,Junho,1.0,Alagoas
2017,Julho,,Alagoas
2017,Agosto,1.0,Alagoas
2017,Setembro,4.0,Alagoas
2017,Outubro,12.0,Alagoas
2017,Novembro,11.0,Alagoas
2017,Dezembro,20.0,Alagoas
2018,Janeiro,17.0,Alagoas
2018,Fevereiro,16.0,Alagoas
2018,Março,13.0,Alagoas
2018,Abril,2.0,Alagoas
2018,Maio,,Alagoas
2018,Junho,6.0,Alagoas
2018,Julho,,Alagoas
2018,Agosto,12.0,Alagoas
2018,Setembro,7.0,Alagoas
2018,Outubro,52.0,Alagoas
2018,Novembro,41.0,Alagoas
2018,Dezembro,35.0,Alagoas
2019,Janeiro,32.0,Alagoas
2019,Fevereiro,9.0,Alagoas
2019,Março,11.0,Alagoas
2019,Abril,5.0,Alagoas
2019,Maio,5.0,Alagoas
2019,Junho,3.0,Alagoas
2019,Julho,2.0,Alagoas
2019,Agosto,6.0,Alagoas
2019,Setembro,12.0,Alagoas
2019,Outubro,20.0,Alagoas
2019,Novembro,60.0,Alagoas
2019,Dezembro,67.0,Alagoas
2020,Janeiro,45.0,Alagoas
2020,Fevereiro,21.0,Alagoas
2020,Março,12.0,Alagoas
2020,Abril,5.0,Alagoas
2020,Maio,1.0,Alagoas
2020,Junho,,Alagoas
2020,Julho,3.0,Alagoas
2020,Agosto,5.0,Alagoas
2020,Setembro,4.0,Alagoas
2020,Outubro,25.0,Alagoas
2020,Novembro,10.0,Alagoas
2020,Dezembro,28.0,Alagoas
2021,Janeiro,21.0,Alagoas
2021,Fevereiro,37.0,Alagoas
2021,Março,34.0,Alagoas
2021,Abril,24.0,Alagoas
2021,Maio,1.0,Alagoas
2021,Junho,,Alagoas
2021,Julho,,Alagoas
2021,Agosto,2.0,Alagoas
2021,Setembro,8.0,Alagoas
2021,Outubro,15.0,Alagoas
2021,Novembro,20.0,Alagoas
2021,Dezembro,11.0,Alagoas
2022,Janeiro,19.0,Alagoas
2022,Fevereiro,29.0,Alagoas
2022,Março,24.0,Alagoas
2022,Abril,3.0,Alagoas
2022,Maio,3.0,Alagoas
2022,Junho,,Alagoas
2022,Julho,1.0,Alagoas
2022,Agosto,,Alagoas
